Index,Time,(Imu_info).Gyro[0],(Imu_info).Gyro[1],(Imu_info).Gyro[2],(Imu_info).Accel[0],(Imu_info).Accel[1],(Imu_info).Accel[2]
0,0.000000,0,0,0,0,0,0
1,0.020144,0,0,0,0,0,0
2,0.029896,0,0,0,0,0,0
3,0.039842,0,0,0,0,0,0
4,0.050207,0,0,0,0,0,0
5,0.060136,0,0,0,0,0,0
6,0.069908,0,0,0,0,0,0
7,0.079860,0,0,0,0,0,0
8,0.090207,0,0,0,0,0,0
9,0.100358,0,0,0,0,0,0
10,0.110150,0,0,0,0,0,0
11,0.119925,0,0,0,0,0,0
12,0.129859,0,0,0,0,0,0
13,0.140234,0,0,0,0,0,0
14,0.150163,0,0,0,0,0,0
15,0.160155,0,0,0,0,0,0
16,0.169911,0,0,0,0,0,0
17,0.179820,0,0,0,0,0,0
18,0.190203,0,0,0,0,0,0
19,0.200233,0,0,0,0,0,0
20,0.210152,0,0,0,0,0,0
21,0.220058,0,0,0,0,0,0
22,0.230048,0,0,0,0,0,0
23,0.239838,0,0,0,0,0,0
24,0.249819,0.0104461238,-0.0104610268,-0.00573005807,-2.02332377,0.115566097,9.83229065
25,0.260188,-0.00127178524,0.0055179405,-0.00573005807,-2.00681448,0.121069245,9.76808643
26,0.270122,-0.00340231415,-0.0168526117,0.0102489088,-2.0013113,0.183438256,9.87081146
27,0.279891,0.0147071807,0.0055179405,-0.0227742903,-1.94627988,0.187107027,9.88365364
28,0.289819,-0.0129896943,-0.0040694396,-0.00786058698,-1.95545185,0.177935109,9.80477428
29,0.299976,-0.00127178524,-0.0115262913,0.0102489088,-1.94994855,0.152253747,9.84146214
30,0.310202,-0.000206520781,0.0151053192,-0.0110563803,-1.99580812,0.130241156,9.84696579
31,0.320107,0.0051198015,-0.0136568202,-0.00253426447,-1.97379565,0.163260028,9.81761551
32,0.330043,-0.0044675786,-0.00513470406,-0.00146900013,-1.96462369,0.148584977,9.86347485
33,0.339858,0.00938085932,-0.0157873482,-0.0142521737,-1.90225458,0.144916207,9.8744812
34,0.349805,0.00405453704,0.0087137334,-0.00999111589,-2.01048326,0.176100716,9.86897755
35,0.360187,0.00298927259,-0.00726523297,0.00918364432,-1.9627893,0.172431946,9.85063457
36,0.370107,0.00938085932,-0.0125915557,-0.0142521737,-1.96462369,0.137578696,9.83229065
37,0.380268,-0.00340231415,-0.0179178771,-0.019578496,-1.97746432,0.0733752996,9.82311821
38,0.390046,-0.00659810752,-0.0115262913,-0.00253426447,-1.93343914,0.154088125,9.86163998
39,0.399828,-0.0044675786,-0.0253747273,-0.0121216448,-1.96829236,0.0311845019,9.79193401
40,0.410191,0.0296208858,-0.00833049789,-0.00999111589,-1.95728612,0.0770440623,9.85246754
41,0.420114,0.0104461238,-0.0275052581,0.00918364432,-1.88574517,0.146750599,9.89465904
42,0.430081,0.00405453704,0.000191618165,-0.00679532252,-1.95912051,0.0862159729,9.87631512
43,0.439878,0.00725033041,-0.00619996851,-0.00573005807,-2.00314569,0.154088125,9.7644186
44,0.450199,0.00831559487,0.00125688268,0.00385732227,-1.94077671,0.104559802,9.81944942
45,0.460362,-0.00340231415,-0.0040694396,-0.00253426447,-1.99397373,0.064203389,9.85430241
46,0.470153,0.00618506595,-0.00726523297,0.00279205781,-1.95728612,0.201782078,9.84146214
47,0.480092,0.00725033041,-0.0243094638,0.000661528786,-1.91509533,0.181603864,9.81578064
48,0.490043,0.00725033041,-0.00300417515,0.00492258649,-1.9627893,0.0990566537,9.83962727
